NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
999,밀애- 섹스가 좋아,이가온,(주)케이알씨지,,(주)케이알씨지,20201016,개봉영화,장편,한국,10,10000,10,1000,1,멜로/로맨스,청소년관람불가,일반영화
1000,보존상: 천년의 유혼,장적재,,(주)액티버스엔터테인먼트,(주)액티버스엔터테인먼트,20200429,개봉영화,장편,중국,6,15000,10,10000,5,기타,15세이상관람가,일반영화
1001,싸움의 법칙,알렉세이 샤파레프,,(주)제이엠씨미디어,(주)제이엠씨미디어,20200813,개봉영화,장편,우크라이나,5,10000,10,2000,2,액션,15세이상관람가,독립/예술영화
1002,완벽한 스와핑,이가온,(주)케이알씨지,,(주)케이알씨지,20201002,개봉영화,장편,한국,10,10000,10,1000,1,성인물(에로),청소년관람불가,일반영화
1003,완벽한 스와핑2,이가온,(주)케이알씨지,,(주)케이알씨지,20201009,개봉영화,장편,한국,10,10000,10,1000,1,멜로/로맨스,청소년관람불가,일반영화
1004,태양을 삼켜버린 자들,,,(주)액티버스엔터테인먼트,(주)액티버스엔터테인먼트,20201203,개봉영화,장편,호주,5,16000,10,13000,7,범죄,청소년관람불가,독립/예술영화
1005,위험한 정사-덫,이가온,(주)케이알씨지,,(주)케이알씨지,20200723,개봉영화,장편,한국,5,9000,9,1000,1,성인물(에로),청소년관람불가,일반영화
1006,연쇄살인마의 이중생활,,,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,20200618,개봉영화,장편,스페인,5,16000,7,1000,1,범죄,15세이상관람가,독립/예술영화
1007,터키쉬 아이스크림,칸 울카이,,주식회사 더쿱,주식회사 더쿱,20201112,개봉영화,장편,기타,5,10000,7,7000,4,코미디,15세이상관람가,독립/예술영화
1008,불량탐정 : 리로드 무삭제판,리차드 킴,영화사 산들바람,,(주)액티버스엔터테인먼트,20200205,개봉영화,장편,한국,1,10000,5,10000,5,성인물(에로),청소년관람불가,일반영화
1009,여린여동생,리차드 킴,영화사 산들바람,,(주)액티버스엔터테인먼트,20200501,개봉영화,장편,한국,4,6000,5,2000,1,성인물(에로),청소년관람불가,일반영화
1010,하이에나,리차드 킴,(주)액티버스엔터테인먼트,,(주)액티버스엔터테인먼트,20200730,개봉영화,장편,한국,5,6000,5,2000,1,성인물(에로),청소년관람불가,일반영화
1011,맛있는 과외누나2,이가온,(주)케이알씨지,,(주)케이알씨지,20200731,개봉영화,장편,한국,4,4000,4,1000,1,성인물(에로),청소년관람불가,일반영화
1012,드래곤 빌리지,,,(주)나우콘텐츠,와이드 릴리즈(주),20191212,개봉영화,장편,터키,82,20000,3,0,0,판타지,전체관람가,일반영화
1013,라 파미에,장-폴 루브,,(주)에스와이코마드,(주)에스와이코마드,20191212,개봉영화,장편,프랑스,16,21000,3,0,0,드라마,12세이상관람가,독립/예술영화
1014,누군가 있다,마이클 멜스키,,,(주)알이디아이스엔터,20201127,개봉영화,장편,미국,1,2000,2,0,0,공포(호러),청소년관람불가,일반영화
1015,원정녀 2호의 사연,최성은,(주)영화사히트,,(주)영화사히트,20200225,개봉영화,장편,한국,2,2000,2,0,0,드라마,청소년관람불가,일반영화
1016,은지: 돌이킬 수 없는 그녀,구모,(주)더킹이엔티,,(주)이놀미디어,20191219,개봉영화,장편,한국,4,3000,2,2000,1,미스터리,청소년관람불가,독립/예술영화
1017,친척동생,최성은,(주)영화사히트,,(주)영화사히트,20200225,개봉영화,장편,한국,2,2000,2,0,0,기타,청소년관람불가,일반영화
1018,가슴 큰 여자선배 무삭제,김진우,(주)영화사가을,,(주)영화사가을,20200811,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1019,가슴큰며느리,이정석,스마일컨텐츠,,스마일컨텐츠,20200807,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1020,가슴큰며느리-무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,20201007,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1021,가슴큰새엄마,이정석,스마일컨텐츠,,스마일컨텐츠,20200724,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1022,가슴큰새엄마-무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,20200916,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1023,가슴큰엄마친구,이정석,스마일컨텐츠,,스마일컨텐츠,20200717,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1024,가슴큰엄마친구-무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,20200909,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1025,가슴큰자매들,이정석,스마일컨텐츠,,스마일컨텐츠,20200902,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1026,가슴큰자매들 - 무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,20201014,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1027,가슴큰친구누나들,이정석,스마일컨텐츠,,스마일컨텐츠,20201106,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1028,가자 장미여관으로 4 - 무삭제판,최우성,컨텐츠레드,,(주)컨텐츠 빌리지,20200910,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
